Candidat;image;zone;color
MACRON Emmanuel;macron.png;4;#26a8ff
PÉCRESSE Valérie;pecresse.png;5;#1239ff
HIDALGO Anne;hidalgo.png;2;#ff2ba3
ROUSSEL Fabien;roussel.png;1;#ff1808
ARTHAUD Nathalie;arthaud.png;1;#ff1808
LASSALLE Jean;lassalle.png;7;#dcdcdc
MÉLENCHON Jean-Luc;melenchon.png;1;#ff2166
JADOT Yannick;jadot.png;3;#18ba06
DUPONT-AIGNAN Nicolas;dupontaignan.png;6;#1239ff
ZEMMOUR Éric;zemmour.png;6;#07155e
ASSELINEAU François;asselineau.png;7;#dcdcdc
POUTOU Philippe;poutou.png;1;#ff1808
LE PEN Marine;lepen.png;6;#07155e
TAUBIRA Christiane;taubira.png;2;#ff2ba3
