Candidat;image
MACRON Emmanuel;macron.png
PÉCRESSE Valérie;pecresse.png
HIDALGO Anne;hidalgo.png
ROUSSEL Fabien;roussel.png
ARTHAUD Nathalie;arthaud.png
LASSALLE Jean;lassalle.png
MÉLENCHON Jean-Luc;melenchon.png
JADOT Yannick;jadot.png
DUPONT-AIGNAN Nicolas;dupontaignan.png
ZEMMOUR Éric;zemmour.png
ASSELINEAU François;asselineau.png
POUTOU Philippe;poutou.png
LE PEN Marine;lepen.png
THOUY Hélène;nopic.png
KAZIB Anasse;nopic.png
KUZMANOVIC Georges;nopic.png
TAUBIRA Christiane;taubira.png
EGGER Clara;nopic.png
KOENIG Gaspard;nopic.png
MIGUET Nicolas;nopic.png
BARNIER Michel;nopic.png
CHICHE Arnaud;nopic.png
