"hckey";Département;code
fr-bre-mb;Morbihan;"56"
fr-pdl-vd;Vendée;"85"
fr-occ-ad;Aude;
fr-pac-vc;Vaucluse;
fr-ges-hm;Haute-Marne;
fr-ges-mr;Marne;
fr-hdf-no;Nord;"59"
fr-occ-hp;Hautes-Pyrénées;
fr-cvl-in;Indre;
fr-naq-vn;Vienne;"86"
fr-naq-dd;Dordogne;
fr-naq-cm;Charente-Maritime;
fr-pac-am;Alpes-Maritimes;"05"
fr-pac-vr;Var;
fr-pac-ap;Alpes-de-Haute-Provence;"04"
fr-ara-ai;Ain;"01"
fr-hdf-as;Aisne;"02"
fr-pac-bd;Bouches-du-Rhône;
fr-occ-av;Aveyron;
fr-occ-ga;Gard;
fr-ges-ab;Aube;"09"
fr-bfc-co;Côte-d'Or;
fr-bfc-sl;Saône-et-Loire;
fr-cvl-ch;Cher;
fr-naq-cr;Creuse;
fr-pdl-ml;Maine-et-Loire;
fr-naq-ds;Deux-Sèvres;
fr-naq-ct;Charente;
fr-ara-dm;Drôme;
fr-ara-ah;Ardèche;"06"
fr-nor-eu;Eure;
fr-idf-es;Essonne;
fr-cvl-el;Eure-et-Loir;
fr-occ-hg;Haute-Garonne;
fr-idf-hd;Hauts-de-Seine;
fr-naq-hv;Haute-Vienne;
fr-pdl-st;Sarthe;
fr-cvl-il;Indre-et-Loire;
fr-ara-is;Isère;
fr-bfc-ju;Jura;
fr-bfc-hn;Haute-Saône;
fr-ara-lr;Loire;
fr-occ-tg;Tarn-et-Garonne;
fr-occ-lo;Lot;
fr-naq-lg;Lot-et-Garonne;
fr-occ-lz;Lozère;
fr-bre-iv;Ille-et-Vilaine;"35"
fr-ges-mm;Meurthe-et-Moselle;
fr-ges-ms;Meuse;
fr-bfc-ni;Nièvre;
fr-naq-cz;Corrèze;
fr-ara-pd;Puy-de-Dôme;
fr-occ-ge;Gers;
fr-naq-pa;Pyrénées-Atlantiques;
fr-ara-sv;Savoie;
fr-idf-se;Seine-et-Marne;
fr-idf-vp;Paris;
fr-idf-ss;Seine-Saint-Denis;
fr-idf-vm;Val-de-Marne;
fr-hdf-so;Somme;
fr-bfc-tb;Territoire de Belfort;
fr-bfc-db;Doubs;
fr-idf-vo;Val-d'Oise;
fr-ges-vg;Vosges;
fr-idf-yv;Yvelines;
fr-cvl-lc;Loir-et-Cher;
fr-cor-cs;Corse-du-Sud;"2A"
fr-bre-fi;Finistère;"29"
fr-cor-hc;Haute-Corse;"2B"
fr-nor-mh;Manche;
fr-ges-an;Ardennes;
fr-occ-ag;Ariège;
fr-ges-br;Bas-Rhin;
fr-nor-cv;Calvados;
fr-ara-cl;Cantal;
fr-bre-ca;Côtes-d'Armor;"22"
fr-naq-gi;Gironde;
fr-ges-hr;Haut-Rhin;
fr-ara-hs;Haute-Savoie;
fr-occ-he;Hérault;
fr-naq-ld;Landes;
fr-pdl-la;Loire-Atlantique;
fr-ges-mo;Moselle;
fr-nor-or;Orne;
fr-hdf-pc;Pas-de-Calais;"62"
fr-occ-po;Pyrénées-Orientales;
fr-pdl-my;Mayenne;"53"
fr-nor-sm;Seine-et-Marne;
fr-bfc-yo;Yonne;
fr-ara-al;Allier;"03"
fr-ara-hl;Haute-Loire;
fr-pac-ha;Hautes-Alpes;
fr-cvl-lt;Loiret;
fr-hdf-oi;Oise;
fr-ara-rh;Rhône;
fr-occ-ta;Tarn;
fr-lre-re;La Réunion;"974"
fr-may-yt;Mayotte;"975"
fr-gf-gf;Guyane;"973"
fr-mq-mq;Martinique;"972"
fr-gua-gp;Guadeloupe;"971"
